FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20230614;1;010101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;28423;27548;875;0.48;4857.50;2081.78;6939.28;2014
20230614;2;010102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;291;151;140;0.61;33.56;14.38;47.95;2014
20230614;3;010103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1615;299;1316;0.45;48.96;20.98;69.95;2014
20230614;4;010104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;597;388;209;0.45;63.59;27.25;90.84;2014
20230614;5;010105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;737;197;540;0.45;32.38;13.88;46.26;2014
20230614;6;010106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2096;630;1466;0.45;103.25;44.25;147.50;2014
20230614;7;010107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;395;133;262;0.61;29.46;12.63;42.09;2014
20230614;8;010108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1240;1231;9;0.45;201.84;86.50;288.34;2014
20230614;9;010109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5551;2442;3109;0.61;542.65;232.56;775.22;2014
20230614;10;010110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4200;1991;2209;0.61;442.34;189.58;631.92;2014
20230614;11;010111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;893;458;435;0.45;75.16;32.21;107.37;2014
20230614;12;010112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;815;643;172;0.61;142.82;61.21;204.03;2014
20230614;13;010113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1034;498;536;0.61;110.62;47.41;158.03;2014
20230614;14;010114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2737;720;2017;0.56;147.94;63.40;211.35;2014
20230614;15;010115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;608;545;63;0.61;121.03;51.87;172.89;2014
20230614;16;010116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;365;107;258;0.61;23.76;10.18;33.94;2014
20230614;17;010117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;865;132;733;0.61;29.43;12.61;42.04;2014
20230614;18;010118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;347;262;85;0.61;58.21;24.95;83.16;2014
20230614;19;010119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;712;491;221;0.61;109.09;46.75;155.84;2014
20230614;20;010120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1346;284;1062;0.61;63.08;27.03;90.11;2014
20230614;21;010121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;224;100;124;0.61;22.27;9.54;31.81;2014
20230614;22;010201;SELVA;AMAZONAS;BAGUA;BAGUA ;26017;23083;2934;0.49;4099.31;1756.85;5856.16;2014
20230614;23;010202;SELVA;AMAZONAS;BAGUA;ARAMANGO;11221;2606;8615;0.58;551.62;236.41;788.03;2014
20230614;24;010203;SELVA;AMAZONAS;BAGUA;COPALLIN;6389;1933;4456;0.61;429.47;184.06;613.53;2014
